gi|1000006792|gb|NC_007626.1_prot_WP_011383552.11176	pfam05345, He_PIG, Putative Ig domain.  This alignment represents the conserved core region of ~90 residue repeat found in several haemagglutinins and other cell surface proteins. Sequence similarities to (pfam02494) and (pfam00801) suggest an Ig-like fold (personal obs:C. Yeats). So this family may be similar in function to the (pfam02639) and (pfam02638) domains. This domain is also found in the WisP family of proteins of Tropheryma whipplei.	2.10e-06
gi|1000006924|gb|NC_007626.1_prot_WP_011383680.11308	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	8.24e-15
gi|1000006924|gb|NC_007626.1_prot_WP_011383680.11308	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	6.62e-12
gi|1000006930|gb|NC_007626.1_prot_WP_011383687.11314	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	1.54e-15
gi|1000006930|gb|NC_007626.1_prot_WP_011383687.11314	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	1.50e-12
gi|1000006930|gb|NC_007626.1_prot_WP_011383687.11314	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	4.66e-10
gi|1000006933|gb|NC_007626.1_prot_WP_158303940.11317	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	1.65e-12
gi|1000006933|gb|NC_007626.1_prot_WP_158303940.11317	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	1.71e-12
gi|1000006933|gb|NC_007626.1_prot_WP_158303940.11317	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	2.01e-09
gi|1000006933|gb|NC_007626.1_prot_WP_158303940.11317	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	1.02e-05
gi|1000006933|gb|NC_007626.1_prot_WP_158303940.11317	pfam17963, Big_9, Bacterial Ig domain.  This entry represents a wide variety of bacterial Ig domains.	2.65e-05
gi|1000008976|gb|NC_007626.1_prot_WP_011385637.13360	pfam05345, He_PIG, Putative Ig domain.  This alignment represents the conserved core region of ~90 residue repeat found in several haemagglutinins and other cell surface proteins. Sequence similarities to (pfam02494) and (pfam00801) suggest an Ig-like fold (personal obs:C. Yeats). So this family may be similar in function to the (pfam02639) and (pfam02638) domains. This domain is also found in the WisP family of proteins of Tropheryma whipplei.	2.76e-09
gi|1000008976|gb|NC_007626.1_prot_WP_011385637.13360	pfam05345, He_PIG, Putative Ig domain.  This alignment represents the conserved core region of ~90 residue repeat found in several haemagglutinins and other cell surface proteins. Sequence similarities to (pfam02494) and (pfam00801) suggest an Ig-like fold (personal obs:C. Yeats). So this family may be similar in function to the (pfam02639) and (pfam02638) domains. This domain is also found in the WisP family of proteins of Tropheryma whipplei.	6.23e-09
gi|1000008976|gb|NC_007626.1_prot_WP_011385637.13360	pfam05345, He_PIG, Putative Ig domain.  This alignment represents the conserved core region of ~90 residue repeat found in several haemagglutinins and other cell surface proteins. Sequence similarities to (pfam02494) and (pfam00801) suggest an Ig-like fold (personal obs:C. Yeats). So this family may be similar in function to the (pfam02639) and (pfam02638) domains. This domain is also found in the WisP family of proteins of Tropheryma whipplei.	2.76e-07
